id_obra,contratada,data_fim_previsto,data_inicio,descricao,municipio,percentual_executado,status,valor,
7090,CONSTRUTORA ASTRAL,"Tue, 29 May 2018","Tue, 15 Jul 2014","SERVIÇO DE ALIMENTAÇÃO DOS QUADROS, CLIMATIZAÇÃO, BATE-MACAS E SISTEMA DE GASES DAS UTI'S DE MÉDIO E ALTO RISCO, E EXECUÇÃO DA LAJE TÉCNICA E RECUPERAÇÃO DA COBERTA DO BLOCO 700 DO HOSPITAL GERAL DR. CÉSAR CALS DE OLIVEIRA - HGCC.",FORTALEZA,83.08,Em Execução,1706199.21,
6358,C.E CONSTRUÇÕES,"Tue, 11 Dec 2012","Thu, 15 Dec 2011",EXECUÇÃO DO PROGRAMA DE ACESSIBILIDADE DETRAN-CE,FORTALEZA,100.00,Concluída,143798.08,
6749,BWS CONSTRUÇÕES LTDA,"Wed, 16 Apr 2014","Tue, 02 Apr 2013","CONCLUSÃO E SERVIÇOS COMPLEMENTARES DA ESCOLA DE ENSINO MÉDIO REGULAR, NO MUNICÍPIO DE HORIZONTE (DOURADO) - CE",HORIZONTE,100.00,Concluída,150118.58,
5908,J & F LIMPEZA E SERVIÇOS LTDA,"Thu, 01 Dec 2011","Mon, 14 Dec 2009","CONSTRUÇÃO DE UMA ESCOLA ESTADUAL DE EDUCAÇÃO PROFISSIONALIZANTE COM 12 SALAS PADRÕES, NO MUNICIPIO DECAUCAIA",CAUCAIA,107.76,Concluída,6464173.86,
4689,CONSTRUTORA ADLE,"Fri, 06 May 2011","Mon, 05 Apr 2010",REFORMA E AMPLIAÇÃO DE 06 ESCOLAS ESTADUAIS DE ENSINO MEDIO REGULAR NOS MUNICIPIOS DE FORTALEZA SOBRAL LIMOEIRO DO NORTE JAGUARIBE CRATO,SOBRAL,55.08,Concluída,288294.11,
7435,CONSTRUTORA E IMOBILIÁRIA JMV LTDA,"Thu, 28 Dec 2017","Mon, 04 Jul 2016",CONSTRUÇÃO DE UMA ESCOLA PROFISSIONALIZANTE NO MUNICÍPIO DE MONSENHOR TABOSA - CE,MONSENHOR TABOSA,61.89,Em Execução,4121109.37,
2532,CONSTRUTORA CAMPOS OLIVEIRA,"Tue, 10 Apr 2012","Mon, 03 Jan 2011",REFORMA E AMPLIAÇÃO DO PRÉDIO DA HABILITAÇÃO DO DETRAN - CE,FORTALEZA,100.00,Concluída,953275.32,
4553,ACTIVA,"Thu, 06 Dec 2012","Thu, 13 Oct 2011",REFORMA E AMPLIAÇÃO DA SEDE DO DEPARTAMENTO ESTADUAL DE RODOVIAS - DER,FORTALEZA,100.00,Concluída,961625.25,
7469,TECNOCON,"Sun, 11 Mar 2018","Wed, 20 Jul 2016","CONSTRUÇÃO DE UMA ESCOLA EEMI JOSÉ BEZERRA DE MENEZES 12 SALAS, EM FORTALEZA-CE",FORTALEZA,22.65,Em Execução,1448432.36,
6230,CONSTRUMAIA,"Wed, 23 Sep 2009","Thu, 29 Jan 2009",REFORMA E MODERNIZAÇÃO DA BIBLIOTECA NA FAFIDAM,FORTALEZA,100.00,Concluída,175627.89,
